"locdisplayid","agentinvoice_invid","agentinvoice_finidn","agentinvoice_productid","sales_type","totalcount","amount"
"000403","2946","0501",9,"119",0,"0.96532110100"
"000403","2946","0501",9,"119",0,"0.97184403700"
"000403","2946","0501",11,"119",0,"0.95903014400"
"000403","2946","0501",23,"119",0,"0.95835005400"
"000403","2946","0501",23,"119",0,"0.96024559600"
"000403","2946","0501",23,"119",0,"0.96224708900"
"000403","2946","0501",23,"119",0,"0.96798352400"
"000403","2946","0501",23,"119",0,"0.97008987100"
"000403","2946","0501",66,"119",0,"0.95835005400"
"000403","2946","0501",66,"119",0,"0.96024559600"
"000403","2946","0501",66,"119",0,"0.96224708900"
"000403","2946","0501",66,"119",0,"0.96798352400"
"000403","2946","0501",66,"119",0,"0.97008987100"
"000403","2946","0501",71,"119",0,"0.95835005400"
"000403","2946","0501",71,"119",0,"0.96024559600"
"000403","2946","0501",71,"119",0,"0.96224708900"
"000403","2946","0501",71,"119",0,"0.96798352400"
"000403","2946","0501",71,"119",0,"0.97008987100"
"000404","2946","0501",9,"119",0,"0.96532110100"
"000404","2946","0501",9,"119",0,"0.97184403700"
"000404","2946","0501",11,"119",0,"0.95903014400"
"000404","2946","0501",23,"119",0,"0.95835005400"
"000404","2946","0501",23,"119",0,"0.96024559600"
"000404","2946","0501",23,"119",0,"0.96224708900"
"000404","2946","0501",23,"119",0,"0.96798352400"
"000404","2946","0501",23,"119",0,"0.97008987100"
"000404","2946","0501",66,"119",0,"0.95835005400"
"000404","2946","0501",66,"119",0,"0.96024559600"
"000404","2946","0501",66,"119",0,"0.96224708900"
"000404","2946","0501",66,"119",0,"0.96798352400"
"000404","2946","0501",66,"119",0,"0.97008987100"
"000404","2946","0501",71,"119",0,"0.95835005400"
"000404","2946","0501",71,"119",0,"0.96024559600"
"000404","2946","0501",71,"119",0,"0.96224708900"
"000404","2946","0501",71,"119",0,"0.96798352400"
"000404","2946","0501",71,"119",0,"0.97008987100"
"000406","2946","0501",9,"119",0,"0.96532110100"
"000406","2946","0501",9,"119",0,"0.97184403700"
"000406","2946","0501",11,"119",0,"0.95903014400"
"000406","2946","0501",23,"119",0,"0.95835005400"
"000406","2946","0501",23,"119",0,"0.96024559600"
"000406","2946","0501",23,"119",0,"0.96224708900"
"000406","2946","0501",23,"119",0,"0.96798352400"
"000406","2946","0501",23,"119",0,"0.97008987100"
"000406","2946","0501",66,"119",0,"0.95835005400"
"000406","2946","0501",66,"119",0,"0.96024559600"
"000406","2946","0501",66,"119",0,"0.96224708900"
"000406","2946","0501",66,"119",0,"0.96798352400"
"000406","2946","0501",66,"119",0,"0.97008987100"
"000406","2946","0501",71,"119",0,"0.95835005400"
"000406","2946","0501",71,"119",0,"0.96024559600"
"000406","2946","0501",71,"119",0,"0.96224708900"
"000406","2946","0501",71,"119",0,"0.96798352400"
"000406","2946","0501",71,"119",0,"0.97008987100"
"000407","2946","1301",9,"119",0,"0.96532110100"
"000407","2946","1301",9,"119",0,"0.97184403700"
"000407","2946","1301",11,"119",0,"0.95903014400"
"000407","2946","1301",23,"119",0,"0.95835005400"
"000407","2946","1301",23,"119",0,"0.96024559600"
"000407","2946","1301",23,"119",0,"0.96224708900"
"000407","2946","1301",23,"119",0,"0.96798352400"
"000407","2946","1301",23,"119",0,"0.97008987100"
"000407","2946","1301",66,"119",0,"0.95835005400"
"000407","2946","1301",66,"119",0,"0.96024559600"
"000407","2946","1301",66,"119",0,"0.96224708900"
"000407","2946","1301",66,"119",0,"0.96798352400"
"000407","2946","1301",66,"119",0,"0.97008987100"
"000407","2946","1301",71,"119",0,"0.95835005400"
"000407","2946","1301",71,"119",0,"0.96024559600"
"000407","2946","1301",71,"119",0,"0.96224708900"
"000407","2946","1301",71,"119",0,"0.96798352400"
"000407","2946","1301",71,"119",0,"0.97008987100"
"000516","2946","0501",9,"119",0,"0.96532110100"
"000516","2946","0501",9,"119",0,"0.97184403700"
"000516","2946","0501",11,"119",0,"0.95903014400"
"000516","2946","0501",23,"119",0,"0.95835005400"
"000516","2946","0501",23,"119",0,"0.96024559600"
"000516","2946","0501",23,"119",0,"0.96224708900"
"000516","2946","0501",23,"119",0,"0.96798352400"
"000516","2946","0501",23,"119",0,"0.97008987100"
"000516","2946","0501",66,"119",0,"0.95835005400"
"000516","2946","0501",66,"119",0,"0.96024559600"
"000516","2946","0501",66,"119",0,"0.96224708900"
"000516","2946","0501",66,"119",0,"0.96798352400"
"000516","2946","0501",66,"119",0,"0.97008987100"
"000516","2946","0501",71,"119",0,"0.95835005400"
"000516","2946","0501",71,"119",0,"0.96024559600"
"000516","2946","0501",71,"119",0,"0.96224708900"
"000516","2946","0501",71,"119",0,"0.96798352400"
"000516","2946","0501",71,"119",0,"0.97008987100"
"000517","2946","0501",9,"119",0,"0.96532110100"
"000517","2946","0501",9,"119",0,"0.97184403700"
"000517","2946","0501",11,"119",0,"0.95903014400"
"000517","2946","0501",23,"119",0,"0.95835005400"
"000517","2946","0501",23,"119",0,"0.96024559600"
"000517","2946","0501",23,"119",0,"0.96224708900"
"000517","2946","0501",23,"119",0,"0.96798352400"
"000517","2946","0501",23,"119",0,"0.97008987100"
"000517","2946","0501",66,"119",0,"0.95835005400"
"000517","2946","0501",66,"119",0,"0.96024559600"
"000517","2946","0501",66,"119",0,"0.96224708900"
"000517","2946","0501",66,"119",0,"0.96798352400"
"000517","2946","0501",66,"119",0,"0.97008987100"
"000517","2946","0501",71,"119",0,"0.95835005400"
"000517","2946","0501",71,"119",0,"0.96024559600"
"000517","2946","0501",71,"119",0,"0.96224708900"
"000517","2946","0501",71,"119",0,"0.96798352400"
"000517","2946","0501",71,"119",0,"0.97008987100"
"000604","2946","1301",9,"119",0,"0.96532110100"
"000604","2946","1301",9,"119",0,"0.97184403700"
"000604","2946","1301",11,"119",0,"0.95903014400"
"000604","2946","1301",23,"119",0,"0.95835005400"
"000604","2946","1301",23,"119",0,"0.96024559600"
"000604","2946","1301",23,"119",0,"0.96224708900"
"000604","2946","1301",23,"119",0,"0.96798352400"
"000604","2946","1301",23,"119",0,"0.97008987100"
"000604","2946","1301",66,"119",0,"0.95835005400"
"000604","2946","1301",66,"119",0,"0.96024559600"
"000604","2946","1301",66,"119",0,"0.96224708900"
"000604","2946","1301",66,"119",0,"0.96798352400"
"000604","2946","1301",66,"119",0,"0.97008987100"
"000604","2946","1301",71,"119",0,"0.95835005400"
"000604","2946","1301",71,"119",0,"0.96024559600"
"000604","2946","1301",71,"119",0,"0.96224708900"
"000604","2946","1301",71,"119",0,"0.96798352400"
"000604","2946","1301",71,"119",0,"0.97008987100"
"000605","2946","1301",9,"119",0,"0.96532110100"
"000605","2946","1301",9,"119",0,"0.97184403700"
"000605","2946","1301",11,"119",0,"0.95903014400"
"000605","2946","1301",23,"119",0,"0.95835005400"
"000605","2946","1301",23,"119",0,"0.96024559600"
"000605","2946","1301",23,"119",0,"0.96224708900"
"000605","2946","1301",23,"119",0,"0.96798352400"
"000605","2946","1301",23,"119",0,"0.97008987100"
"000605","2946","1301",66,"119",0,"0.95835005400"
"000605","2946","1301",66,"119",0,"0.96024559600"
"000605","2946","1301",66,"119",0,"0.96224708900"
"000605","2946","1301",66,"119",0,"0.96798352400"
"000605","2946","1301",66,"119",0,"0.97008987100"
"000605","2946","1301",71,"119",0,"0.95835005400"
"000605","2946","1301",71,"119",0,"0.96024559600"
"000605","2946","1301",71,"119",0,"0.96224708900"
"000605","2946","1301",71,"119",0,"0.96798352400"
"000605","2946","1301",71,"119",0,"0.97008987100"
"000710","2946","0501",9,"119",0,"0.96532110100"
"000710","2946","0501",9,"119",0,"0.97184403700"
"000710","2946","0501",11,"119",0,"0.95903014400"
"000710","2946","0501",23,"119",0,"0.95835005400"
"000710","2946","0501",23,"119",0,"0.96024559600"
"000710","2946","0501",23,"119",0,"0.96224708900"
"000710","2946","0501",23,"119",0,"0.96798352400"
"000710","2946","0501",23,"119",0,"0.97008987100"
"000710","2946","0501",66,"119",0,"0.95835005400"
"000710","2946","0501",66,"119",0,"0.96024559600"
"000710","2946","0501",66,"119",0,"0.96224708900"
"000710","2946","0501",66,"119",0,"0.96798352400"
"000710","2946","0501",66,"119",0,"0.97008987100"
"000710","2946","0501",71,"119",0,"0.95835005400"
"000710","2946","0501",71,"119",0,"0.96024559600"
"000710","2946","0501",71,"119",0,"0.96224708900"
"000710","2946","0501",71,"119",0,"0.96798352400"
"000710","2946","0501",71,"119",0,"0.97008987100"
"000807","2946","0201",9,"119",0,"0.96532110100"
"000807","2946","0201",9,"119",0,"0.97184403700"
"000807","2946","0201",11,"119",0,"0.95903014400"
"000807","2946","0201",23,"119",0,"0.95835005400"
"000807","2946","0201",23,"119",0,"0.96024559600"
"000807","2946","0201",23,"119",0,"0.96224708900"
"000807","2946","0201",23,"119",0,"0.96798352400"
"000807","2946","0201",23,"119",0,"0.97008987100"
"000807","2946","0201",66,"119",0,"0.95835005400"
"000807","2946","0201",66,"119",0,"0.96024559600"
"000807","2946","0201",66,"119",0,"0.96224708900"
"000807","2946","0201",66,"119",0,"0.96798352400"
"000807","2946","0201",66,"119",0,"0.97008987100"
"000807","2946","0201",71,"119",0,"0.95835005400"
"000807","2946","0201",71,"119",0,"0.96024559600"
"000807","2946","0201",71,"119",0,"0.96224708900"
"000807","2946","0201",71,"119",0,"0.96798352400"
"000807","2946","0201",71,"119",0,"0.97008987100"
"000816","2946","0201",9,"119",0,"0.96532110100"
"000816","2946","0201",9,"119",0,"0.97184403700"
"000816","2946","0201",11,"119",0,"0.95903014400"
"000816","2946","0201",23,"119",0,"0.95835005400"
"000816","2946","0201",23,"119",0,"0.96024559600"
"000816","2946","0201",23,"119",0,"0.96224708900"
"000816","2946","0201",23,"119",0,"0.96798352400"
"000816","2946","0201",23,"119",0,"0.97008987100"
"000816","2946","0201",66,"119",0,"0.95835005400"
"000816","2946","0201",66,"119",0,"0.96024559600"
"000816","2946","0201",66,"119",0,"0.96224708900"
"000816","2946","0201",66,"119",0,"0.96798352400"
"000816","2946","0201",66,"119",0,"0.97008987100"
"000816","2946","0201",71,"119",0,"0.95835005400"
"000816","2946","0201",71,"119",0,"0.96024559600"
"000816","2946","0201",71,"119",0,"0.96224708900"
"000816","2946","0201",71,"119",0,"0.96798352400"
"000816","2946","0201",71,"119",0,"0.97008987100"
"000905","2946","0501",9,"119",0,"0.96532110100"
"000905","2946","0501",9,"119",0,"0.97184403700"
"000905","2946","0501",11,"119",0,"0.95903014400"
"000905","2946","0501",23,"119",0,"0.95835005400"
"000905","2946","0501",23,"119",0,"0.96024559600"
"000905","2946","0501",23,"119",0,"0.96224708900"
"000905","2946","0501",23,"119",0,"0.96798352400"
"000905","2946","0501",23,"119",0,"0.97008987100"
"000905","2946","0501",66,"119",0,"0.95835005400"
"000905","2946","0501",66,"119",0,"0.96024559600"
"000905","2946","0501",66,"119",0,"0.96224708900"
"000905","2946","0501",66,"119",0,"0.96798352400"
"000905","2946","0501",66,"119",0,"0.97008987100"
"000905","2946","0501",71,"119",0,"0.95835005400"
"000905","2946","0501",71,"119",0,"0.96024559600"
"000905","2946","0501",71,"119",0,"0.96224708900"
"000905","2946","0501",71,"119",0,"0.96798352400"
"000905","2946","0501",71,"119",0,"0.97008987100"
"000906","2946","0202",9,"119",0,"0.96532110100"
"000906","2946","0202",9,"119",0,"0.97184403700"
"000906","2946","0202",11,"119",0,"0.95903014400"
"000906","2946","0202",23,"119",0,"0.95835005400"
"000906","2946","0202",23,"119",0,"0.96024559600"
"000906","2946","0202",23,"119",0,"0.96224708900"
"000906","2946","0202",23,"119",0,"0.96798352400"
"000906","2946","0202",23,"119",0,"0.97008987100"
"000906","2946","0202",66,"119",0,"0.95835005400"
"000906","2946","0202",66,"119",0,"0.96024559600"
