LOCID,LOCDISPLAYID,LOCNAME,LOCTYPE,ISIBG,ISGST,PRODUCTNAME,AMOUNT,FLAG,TYPE,ISHQ
1,151189,SPPL - JALAN TIGA,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
1,151189,SPPL - JALAN TIGA,1,False,False,Funding and Recovery,0.0,REC,CH,False
1,151189,SPPL - JALAN TIGA,1,False,False,Online Adjustment,-0.0,FUN,CH,False
1,151189,SPPL - JALAN TIGA,1,False,False,Online Adjustment,0.0,REC,CH,False
2,154101,SPPL - CHANGI ROAD,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
2,154101,SPPL - CHANGI ROAD,1,False,False,Funding and Recovery,0.0,REC,CH,False
2,154101,SPPL - CHANGI ROAD,1,False,False,Online Adjustment,-0.0,FUN,CH,False
2,154101,SPPL - CHANGI ROAD,1,False,False,Online Adjustment,0.0,REC,CH,False
3,154197,SPPL - BEDOK TOWN CENTRE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
3,154197,SPPL - BEDOK TOWN CENTRE,1,False,False,Funding and Recovery,0.0,REC,CH,False
3,154197,SPPL - BEDOK TOWN CENTRE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
3,154197,SPPL - BEDOK TOWN CENTRE,1,False,False,Online Adjustment,0.0,REC,CH,False
4,154301,SPPL - JALAN BATU,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
4,154301,SPPL - JALAN BATU,1,False,False,Funding and Recovery,0.0,REC,CH,False
4,154301,SPPL - JALAN BATU,1,False,False,Online Adjustment,-0.0,FUN,CH,False
4,154301,SPPL - JALAN BATU,1,False,False,Online Adjustment,0.0,REC,CH,False
5,154501,SPPL - SIGLAP,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
5,154501,SPPL - SIGLAP,1,False,False,Funding and Recovery,0.0,REC,CH,False
5,154501,SPPL - SIGLAP,1,False,False,Online Adjustment,-0.0,FUN,CH,False
5,154501,SPPL - SIGLAP,1,False,False,Online Adjustment,0.0,REC,CH,False
6,154601,SPPL - BEDOK NORTH,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
6,154601,SPPL - BEDOK NORTH,1,False,False,Funding and Recovery,0.0,REC,CH,False
6,154601,SPPL - BEDOK NORTH,1,False,False,Online Adjustment,-0.0,FUN,CH,False
6,154601,SPPL - BEDOK NORTH,1,False,False,Online Adjustment,0.0,REC,CH,False
7,154602,SPPL - CHAI CHEE,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
7,154602,SPPL - CHAI CHEE,1,False,False,Funding and Recovery,0.0,REC,CH,False
7,154602,SPPL - CHAI CHEE,1,False,False,Online Adjustment,-0.0,FUN,CH,False
7,154602,SPPL - CHAI CHEE,1,False,False,Online Adjustment,0.0,REC,CH,False
8,154603,SPPL - NEW UPP CHANGI,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
8,154603,SPPL - NEW UPP CHANGI,1,False,False,Funding and Recovery,0.0,REC,CH,False
8,154603,SPPL - NEW UPP CHANGI,1,False,False,Online Adjustment,-0.0,FUN,CH,False
8,154603,SPPL - NEW UPP CHANGI,1,False,False,Online Adjustment,0.0,REC,CH,False
9,155101,SPPL - PASIR RIS N7,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
9,155101,SPPL - PASIR RIS N7,1,False,False,Funding and Recovery,0.0,REC,CH,False
9,155101,SPPL - PASIR RIS N7,1,False,False,Online Adjustment,-0.0,FUN,CH,False
9,155101,SPPL - PASIR RIS N7,1,False,False,Online Adjustment,0.0,REC,CH,False
10,155102,SPPL - PASIR RIS N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
10,155102,SPPL - PASIR RIS N2,1,False,False,Funding and Recovery,0.0,REC,CH,False
10,155102,SPPL - PASIR RIS N2,1,False,False,Online Adjustment,-0.0,FUN,CH,False
10,155102,SPPL - PASIR RIS N2,1,False,False,Online Adjustment,0.0,REC,CH,False
11,155201,SPPL - TAMPINES N4,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
11,155201,SPPL - TAMPINES N4,1,False,False,Funding and Recovery,0.0,REC,CH,False
11,155201,SPPL - TAMPINES N4,1,False,False,Online Adjustment,-0.0,FUN,CH,False
11,155201,SPPL - TAMPINES N4,1,False,False,Online Adjustment,0.0,REC,CH,False
12,155203,SPPL - TAMPINES MART,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
12,155203,SPPL - TAMPINES MART,1,False,False,Funding and Recovery,0.0,REC,CH,False
12,155203,SPPL - TAMPINES MART,1,False,False,Online Adjustment,-0.0,FUN,CH,False
12,155203,SPPL - TAMPINES MART,1,False,False,Online Adjustment,0.0,REC,CH,False
13,155301,SPPL - HOUGANG N1,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
13,155301,SPPL - HOUGANG N1,1,False,False,Funding and Recovery,0.0,REC,CH,False
13,155301,SPPL - HOUGANG N1,1,False,False,Online Adjustment,-0.0,FUN,CH,False
13,155301,SPPL - HOUGANG N1,1,False,False,Online Adjustment,0.0,REC,CH,False
14,155302,SPPL - HOUGANG N2,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
14,155302,SPPL - HOUGANG N2,1,False,False,Funding and Recovery,0.0,REC,CH,False
14,155302,SPPL - HOUGANG N2,1,False,False,Online Adjustment,-0.0,FUN,CH,False
14,155302,SPPL - HOUGANG N2,1,False,False,Online Adjustment,0.0,REC,CH,False
15,155303,SPPL - HOUGANG N3,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
15,155303,SPPL - HOUGANG N3,1,False,False,Funding and Recovery,0.0,REC,CH,False
15,155303,SPPL - HOUGANG N3,1,False,False,Online Adjustment,-0.0,FUN,CH,False
15,155303,SPPL - HOUGANG N3,1,False,False,Online Adjustment,0.0,REC,CH,False
16,155304,SPPL - LORONG LEW LIAN,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
16,155304,SPPL - LORONG LEW LIAN,1,False,False,Funding and Recovery,0.0,REC,CH,False
16,155304,SPPL - LORONG LEW LIAN,1,False,False,Online Adjustment,-0.0,FUN,CH,False
16,155304,SPPL - LORONG LEW LIAN,1,False,False,Online Adjustment,0.0,REC,CH,False
17,160192,SPPL - SUNTEC CITY,1,False,False,Funding and Recovery,-0.0,FUN,CH,False
17,160192,SPPL - SUNTEC CITY,1,False,False,Funding and Recovery,0.0,REC,CH,False
