TERDISPLAYID,PRODUCTNAME,FLAG,AMOUNT,TICKETCOUNT,ACTUALDATE,LOCTYPEID,TRANSTYPE
000403001,HORSE RACING,COL,0.0,0,,2.0,CH
000403002,HORSE RACING,COL,0.0,0,,2.0,CH
000403006,HORSE RACING,COL,0.0,0,,2.0,CH
000403077,HORSE RACING,COL,0.0,0,,2.0,CH
000404001,HORSE RACING,COL,0.0,0,,2.0,CH
000404002,HORSE RACING,COL,0.0,0,,2.0,CH
000406001,HORSE RACING,COL,0.0,0,,2.0,CH
000406002,HORSE RACING,COL,0.0,0,,2.0,CH
000406003,HORSE RACING,COL,0.0,0,,2.0,CH
000407001,HORSE RACING,COL,0.0,0,,2.0,CH
000407002,HORSE RACING,COL,0.0,0,,2.0,CH
000516001,HORSE RACING,COL,0.0,0,,2.0,CH
000516002,HORSE RACING,COL,0.0,0,,2.0,CH
000517001,HORSE RACING,COL,0.0,0,,2.0,CH
000517002,HORSE RACING,COL,0.0,0,,2.0,CH
000604001,HORSE RACING,COL,0.0,0,,2.0,CH
000604002,HORSE RACING,COL,0.0,0,,2.0,CH
000605001,HORSE RACING,COL,0.0,0,,2.0,CH
000605002,HORSE RACING,COL,0.0,0,,2.0,CH
000605003,HORSE RACING,COL,0.0,0,,2.0,CH
000710001,HORSE RACING,COL,0.0,0,,2.0,CH
000710002,HORSE RACING,COL,0.0,0,,2.0,CH
000807001,HORSE RACING,COL,0.0,0,,2.0,CH
000807002,HORSE RACING,COL,0.0,0,,2.0,CH
000807003,HORSE RACING,COL,0.0,0,,2.0,CH
000807004,HORSE RACING,COL,0.0,0,,2.0,CH
000905001,HORSE RACING,COL,0.0,0,,2.0,CH
000905002,HORSE RACING,COL,0.0,0,,2.0,CH
000905003,HORSE RACING,COL,0.0,0,,2.0,CH
000906001,HORSE RACING,COL,0.0,0,,2.0,CH
000906002,HORSE RACING,COL,0.0,0,,2.0,CH
000907001,HORSE RACING,COL,0.0,0,,2.0,CH
001006001,HORSE RACING,COL,0.0,0,,2.0,CH
001006002,HORSE RACING,COL,0.0,0,,2.0,CH
001006003,HORSE RACING,COL,0.0,0,,2.0,CH
001007001,HORSE RACING,COL,0.0,0,,2.0,CH
001007002,HORSE RACING,COL,0.0,0,,2.0,CH
001008001,HORSE RACING,COL,0.0,0,,2.0,CH
001008002,HORSE RACING,COL,0.0,0,,2.0,CH
001211001,HORSE RACING,COL,0.0,0,,2.0,CH
