TERDISPLAYID,PRODUCTNAME,AMOUNT,TICKETCOUNT,FLAG,TRANSTYPE,FROMDATE,TODATE
000403001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000403002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000403006,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000403077,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000404001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000404002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000406001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000406002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000406003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000407001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000407002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000516001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000516002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000517001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000517002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000604001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000604002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000605001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000605002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000605003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000710001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000710002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000807001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000807002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000807003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000807004,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000905001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000905002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000905003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000906001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000906002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
000907001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001006001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001006002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001006003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001007001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001007002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001008001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001008002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001211001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001211002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001211003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001212001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001212002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001212003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001213001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001213002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001213003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001214001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001214002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001216001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001216002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001303001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001303002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001415001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001415002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001417001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001417002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001418001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001418002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001418003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001512001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001512002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001512003,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001513001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001513002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001514001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001514002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001516001,HORSE RACING,0.0,0,COL,CH,20251227,20251229
001516002,HORSE RACING,0.0,0,COL,CH,20251227,20251229
