TERDISPLAYID,PRODUCTNAME,AMOUNT,FLAG,TYPE
500011001,NETS,0.0,CAS,CL
280909034,NETS,0.0,CAS,CL
006807005,NETS,0.0,CAS,CL
500002003,NETS,0.0,CAS,CL
280909033,NETS,0.0,CAS,CL
006807004,NETS,0.0,CAS,CL
006702002,NETS,0.0,CAS,CL
006703001,NETS,0.0,CAS,CL
006703002,NETS,0.0,CAS,CL
006803001,NETS,0.0,CAS,CL
006803002,NETS,0.0,CAS,CL
006803004,NETS,0.0,CAS,CL
006804001,NETS,0.0,CAS,CL
006804002,NETS,0.0,CAS,CL
006805001,NETS,0.0,CAS,CL
006805002,NETS,0.0,CAS,CL
006807001,NETS,0.0,CAS,CL
006807002,NETS,0.0,CAS,CL
006807003,NETS,0.0,CAS,CL
006808001,NETS,0.0,CAS,CL
006808002,NETS,0.0,CAS,CL
006808003,NETS,0.0,CAS,CL
006809001,NETS,0.0,CAS,CL
006809002,NETS,0.0,CAS,CL
007304001,NETS,0.0,CAS,CL
007304002,NETS,0.0,CAS,CL
007305001,NETS,0.0,CAS,CL
007305002,NETS,0.0,CAS,CL
193201002,NETS,0.0,CAS,CL
007306001,NETS,0.0,CAS,CL
007306002,NETS,0.0,CAS,CL
007308001,NETS,0.0,CAS,CL
007308002,NETS,0.0,CAS,CL
007309001,NETS,0.0,CAS,CL
007309002,NETS,0.0,CAS,CL
007310001,NETS,0.0,CAS,CL
007310002,NETS,0.0,CAS,CL
007310003,NETS,0.0,CAS,CL
007311001,NETS,0.0,CAS,CL
007311002,NETS,0.0,CAS,CL
007501001,NETS,0.0,CAS,CL
007501002,NETS,0.0,CAS,CL
007502001,NETS,0.0,CAS,CL
007502002,NETS,0.0,CAS,CL
007503001,NETS,0.0,CAS,CL
007503002,NETS,0.0,CAS,CL
007601001,NETS,0.0,CAS,CL
007601002,NETS,0.0,CAS,CL
007601003,NETS,0.0,CAS,CL
007601004,NETS,0.0,CAS,CL
007601005,NETS,0.0,CAS,CL
007602001,NETS,0.0,CAS,CL
007602002,NETS,0.0,CAS,CL
007602003,NETS,0.0,CAS,CL
007602004,NETS,0.0,CAS,CL
007604001,NETS,0.0,CAS,CL
007604002,NETS,0.0,CAS,CL
007604003,NETS,0.0,CAS,CL
007607001,NETS,0.0,CAS,CL
007607002,NETS,0.0,CAS,CL
007607003,NETS,0.0,CAS,CL
007612002,NETS,0.0,CAS,CL
007612003,NETS,0.0,CAS,CL
007801001,NETS,0.0,CAS,CL
007801002,NETS,0.0,CAS,CL
008001001,NETS,0.0,CAS,CL
008001002,NETS,0.0,CAS,CL
008001003,NETS,0.0,CAS,CL
008201001,NETS,0.0,CAS,CL
008201002,NETS,0.0,CAS,CL
008202001,NETS,0.0,CAS,CL
008202002,NETS,0.0,CAS,CL
008888002,NETS,0.0,CAS,CL
008888004,NETS,0.0,CAS,CL
008888005,NETS,0.0,CAS,CL
008888008,NETS,0.0,CAS,CL
008888010,NETS,0.0,CAS,CL
008888011,NETS,0.0,CAS,CL
008888012,NETS,0.0,CAS,CL
008888015,NETS,0.0,CAS,CL
008888016,NETS,0.0,CAS,CL
008888017,NETS,0.0,CAS,CL
008888018,NETS,0.0,CAS,CL
008888022,NETS,0.0,CAS,CL
008888025,NETS,0.0,CAS,CL
008888026,NETS,0.0,CAS,CL
008888027,NETS,0.0,CAS,CL
008888028,NETS,0.0,CAS,CL
008888029,NETS,0.0,CAS,CL
008888030,NETS,0.0,CAS,CL
008888031,NETS,0.0,CAS,CL
008888032,NETS,0.0,CAS,CL
008888033,NETS,0.0,CAS,CL
008888034,NETS,0.0,CAS,CL
000403001,NETS,0.0,CAS,CL
000403002,NETS,0.0,CAS,CL
000404001,NETS,0.0,CAS,CL
000404002,NETS,0.0,CAS,CL
000406001,NETS,0.0,CAS,CL
000406002,NETS,0.0,CAS,CL
000406003,NETS,0.0,CAS,CL
000407001,NETS,0.0,CAS,CL
000407002,NETS,0.0,CAS,CL
000516001,NETS,0.0,CAS,CL
000516002,NETS,0.0,CAS,CL
000517001,NETS,0.0,CAS,CL
000517002,NETS,0.0,CAS,CL
000604001,NETS,0.0,CAS,CL
000604002,NETS,0.0,CAS,CL
000605001,NETS,0.0,CAS,CL
000605002,NETS,0.0,CAS,CL
000807001,NETS,0.0,CAS,CL
000807002,NETS,0.0,CAS,CL
000807003,NETS,0.0,CAS,CL
000905001,NETS,0.0,CAS,CL
000905002,NETS,0.0,CAS,CL
000905003,NETS,0.0,CAS,CL
000906001,NETS,0.0,CAS,CL
000906002,NETS,0.0,CAS,CL
001006001,NETS,0.0,CAS,CL
001006002,NETS,0.0,CAS,CL
001007001,NETS,0.0,CAS,CL
001007002,NETS,0.0,CAS,CL
001008001,NETS,0.0,CAS,CL
001008002,NETS,0.0,CAS,CL
001211001,NETS,0.0,CAS,CL
001211002,NETS,0.0,CAS,CL
001211003,NETS,0.0,CAS,CL
001212001,NETS,0.0,CAS,CL
001212002,NETS,0.0,CAS,CL
001212003,NETS,0.0,CAS,CL
001213001,NETS,0.0,CAS,CL
001213002,NETS,0.0,CAS,CL
001213003,NETS,0.0,CAS,CL
001214001,NETS,0.0,CAS,CL
001214002,NETS,0.0,CAS,CL
001216001,NETS,0.0,CAS,CL
001216002,NETS,0.0,CAS,CL
001303001,NETS,0.0,CAS,CL
001303002,NETS,0.0,CAS,CL
001415001,NETS,0.0,CAS,CL
001415002,NETS,0.0,CAS,CL
001417001,NETS,0.0,CAS,CL
001417002,NETS,0.0,CAS,CL
001512001,NETS,0.0,CAS,CL
001512002,NETS,0.0,CAS,CL
001512003,NETS,0.0,CAS,CL
001513001,NETS,0.0,CAS,CL
001513002,NETS,0.0,CAS,CL
001514001,NETS,0.0,CAS,CL
001514002,NETS,0.0,CAS,CL
001612001,NETS,0.0,CAS,CL
001612002,NETS,0.0,CAS,CL
001613001,NETS,0.0,CAS,CL
001613002,NETS,0.0,CAS,CL
001613003,NETS,0.0,CAS,CL
007305003,NETS,0.0,CAS,CL
001617001,NETS,0.0,CAS,CL
