TERID,TERDISPLAYID,LOCID,TERNAME,TERHOSTNAME,TERMACADDRESS,CREATEDBY,CREATEDDATE,UPDATEDBY,UPDATEDDATE,ISDELETED,ISCHEQUEPAYOUT,X_RECORD_INSERT_TS,X_RECORD_UPDATE_TS,X_ETL_NAME
372,006702002,182, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
373,006703001,152, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
374,006703002,152, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
375,006803001,154, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
376,006803002,154, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
377,006803004,154, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
378,006804001,155, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
379,006804002,155, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
380,006805001,156, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
381,006805002,156, ,,,initialization,2019-02-21 00:00:00.000,initialization,2019-02-21 00:00:00.000,True,,,2025-12-16 18:58:57.268,UBT_0.0.0_DAILY_MASTER_MAIN
