TERDISPLAYID,TRANSACTIONDATE,PRODID,LOCDISPLAYID,SALES_TYPE,TOTALCOUNT,AMOUNT,SUB_PROD
000403001,2025-06-25,1,000403,1,0,0.0,HORSE RACING
000403001,2025-06-25,3,000403,1,0,0.0,TOTO
000403001,2025-06-25,3,000403,1,0,0.0,TOTO MATCH
000403001,2025-06-25,4,000403,1,0,0.0,SINGAPORE SWEEP
000403001,2025-06-25,5,000403,1,0,0.0,SPORTS
000403002,2025-06-25,1,000403,1,0,0.0,HORSE RACING
000403002,2025-06-25,3,000403,1,0,0.0,TOTO
000403002,2025-06-25,3,000403,1,0,0.0,TOTO MATCH
000403002,2025-06-25,4,000403,1,0,0.0,SINGAPORE SWEEP
000403002,2025-06-25,5,000403,1,0,0.0,SPORTS
000403006,2025-06-25,1,000403,1,0,0.0,HORSE RACING
000403006,2025-06-25,3,000403,1,0,0.0,TOTO
000403006,2025-06-25,3,000403,1,0,0.0,TOTO MATCH
000403006,2025-06-25,4,000403,1,0,0.0,SINGAPORE SWEEP
000403006,2025-06-25,5,000403,1,0,0.0,SPORTS
000403077,2025-06-25,1,000403,1,0,0.0,HORSE RACING
000403077,2025-06-25,3,000403,1,0,0.0,TOTO
000403077,2025-06-25,3,000403,1,0,0.0,TOTO MATCH
000403077,2025-06-25,4,000403,1,0,0.0,SINGAPORE SWEEP
000403077,2025-06-25,5,000403,1,0,0.0,SPORTS
000404001,2025-06-25,1,000404,1,0,0.0,HORSE RACING
000404001,2025-06-25,3,000404,1,0,0.0,TOTO
000404001,2025-06-25,3,000404,1,0,0.0,TOTO MATCH
000404001,2025-06-25,4,000404,1,0,0.0,SINGAPORE SWEEP
000404001,2025-06-25,5,000404,1,0,0.0,SPORTS
000404002,2025-06-25,1,000404,1,0,0.0,HORSE RACING
000404002,2025-06-25,3,000404,1,0,0.0,TOTO
000404002,2025-06-25,3,000404,1,0,0.0,TOTO MATCH
000404002,2025-06-25,4,000404,1,0,0.0,SINGAPORE SWEEP
