CR_TERDISPLAYID,CR_TRANSACTIONDATE,CR_LOCDISPLAYID,CR_TOTALCOUNT,CR_AMOUNT
000403001,2025-06-25,000403,0,0.0
000403002,2025-06-25,000403,0,0.0
000403006,2025-06-25,000403,0,0.0
000403077,2025-06-25,000403,0,0.0
000404001,2025-06-25,000404,0,0.0
000404002,2025-06-25,000404,0,0.0
000406001,2025-06-25,000406,0,0.0
000406002,2025-06-25,000406,0,0.0
000406003,2025-06-25,000406,0,0.0
000407001,2025-06-25,000407,0,0.0
000407002,2025-06-25,000407,0,0.0
000516001,2025-06-25,000516,0,0.0
000516002,2025-06-25,000516,0,0.0
000517001,2025-06-25,000517,0,0.0
000517002,2025-06-25,000517,0,0.0
000604001,2025-06-25,000604,0,0.0
000604002,2025-06-25,000604,0,0.0
000605001,2025-06-25,000605,0,0.0
000605002,2025-06-25,000605,0,0.0
000605003,2025-06-25,000605,0,0.0
000710001,2025-06-25,000710,0,0.0
000710002,2025-06-25,000710,0,0.0
000807001,2025-06-25,000807,0,0.0
000807002,2025-06-25,000807,0,0.0
000807003,2025-06-25,000807,0,0.0
000807004,2025-06-25,000807,0,0.0
000905001,2025-06-25,000905,0,0.0
000905002,2025-06-25,000905,0,0.0
000905003,2025-06-25,000905,0,0.0
000906001,2025-06-25,000906,0,0.0
000906002,2025-06-25,000906,0,0.0
000907001,2025-06-25,000907,0,0.0
001006001,2025-06-25,001006,0,0.0
001006002,2025-06-25,001006,0,0.0
001006003,2025-06-25,001006,0,0.0
001007001,2025-06-25,001007,0,0.0
001007002,2025-06-25,001007,0,0.0
001008001,2025-06-25,001008,0,0.0
001008002,2025-06-25,001008,0,0.0
001211001,2025-06-25,001211,0,0.0
001211002,2025-06-25,001211,0,0.0
001211003,2025-06-25,001211,0,0.0
001212001,2025-06-25,001212,0,0.0
001212002,2025-06-25,001212,0,0.0
001212003,2025-06-25,001212,0,0.0
001213001,2025-06-25,001213,0,0.0
001213002,2025-06-25,001213,0,0.0
001213003,2025-06-25,001213,0,0.0
001214001,2025-06-25,001214,0,0.0
001214002,2025-06-25,001214,0,0.0
001216001,2025-06-25,001216,0,0.0
001216002,2025-06-25,001216,0,0.0
001303001,2025-06-25,001303,0,0.0
001303002,2025-06-25,001303,0,0.0
001415001,2025-06-25,001415,0,0.0
001415002,2025-06-25,001415,0,0.0
001417001,2025-06-25,001417,0,0.0
001417002,2025-06-25,001417,0,0.0
001418001,2025-06-25,001418,0,0.0
001418002,2025-06-25,001418,0,0.0
001418003,2025-06-25,001418,0,0.0
001512001,2025-06-25,001512,0,0.0
001512002,2025-06-25,001512,0,0.0
001512003,2025-06-25,001512,0,0.0
001513001,2025-06-25,001513,0,0.0
001513002,2025-06-25,001513,0,0.0
001514001,2025-06-25,001514,0,0.0
001514002,2025-06-25,001514,0,0.0
001516001,2025-06-25,001516,0,0.0
001516002,2025-06-25,001516,0,0.0
001612001,2025-06-25,001612,0,0.0
001612002,2025-06-25,001612,0,0.0
001613001,2025-06-25,001613,0,0.0
